"年","月","日","都道府県","PCR検査陽性者数","PCR検査人数","患者数（2020年3月28日からは感染者数）","現在は入院等","退院者","死亡者"
2020,3,13,"香川",0,98,0,0,0,0
2020,3,13,"愛媛",2,161,0,0,0,0
2020,3,13,"高知",12,229,0,0,0,0
2020,3,13,"福岡",3,522,0,0,0,0
2020,3,13,"佐賀",1,52,0,0,0,0
2020,3,13,"長崎",0,150,0,0,0,0
2020,3,13,"熊本",6,0,0,0,0,0
2020,3,13,"大分",1,148,0,0,0,0
2020,3,13,"宮崎",1,113,0,0,0,0
2020,3,13,"鹿児島",0,0,0,0,0,0
2020,3,13,"沖縄",3,198,0,0,0,0
2020,3,14,"北海道",142,1322,0,0,0,0
2020,3,14,"青森",0,70,0,0,0,0
2020,3,14,"岩手",0,22,0,0,0,0
2020,3,14,"宮城",1,109,0,0,0,0
2020,3,14,"秋田",2,94,0,0,0,0
2020,3,14,"山形",0,110,0,0,0,0
2020,3,14,"福島",2,107,0,0,0,0
2020,3,14,"茨城",0,389,0,0,0,0
2020,3,14,"栃木",2,201,0,0,0,0
2020,3,14,"群馬",5,115,0,0,0,0
2020,3,14,"埼玉",28,440,0,0,0,0
2020,3,14,"千葉",31,0,0,0,0,0
2020,3,14,"東京",87,1653,0,0,0,0
2020,3,14,"神奈川",49,0,0,0,0,0
2020,3,14,"新潟",14,0,0,0,0,0
2020,3,14,"富山",0,49,0,0,0,0
2020,3,14,"石川",7,146,0,0,0,0
2020,3,14,"福井",0,74,0,0,0,0
2020,3,14,"山梨",2,267,0,0,0,0
2020,3,14,"長野",4,255,0,0,0,0
2020,3,14,"岐阜",2,227,0,0,0,0
2020,3,14,"静岡",3,0,0,0,0,0
2020,3,14,"愛知",121,1103,0,0,0,0
2020,3,14,"三重",8,198,0,0,0,0
2020,3,14,"滋賀",1,99,0,0,0,0
2020,3,14,"京都",17,628,0,0,0,0
2020,3,14,"大阪",103,0,0,0,0,0
2020,3,14,"兵庫",60,581,0,0,0,0
2020,3,14,"奈良",8,131,0,0,0,0
2020,3,14,"和歌山",14,1008,0,0,0,0
2020,3,14,"鳥取",0,93,0,0,0,0
2020,3,14,"島根",0,80,0,0,0,0
2020,3,14,"岡山",0,141,0,0,0,0
2020,3,14,"広島",1,423,0,0,0,0
2020,3,14,"山口",3,128,0,0,0,0
2020,3,14,"徳島",1,70,0,0,0,0
2020,3,14,"香川",0,98,0,0,0,0
2020,3,14,"愛媛",2,161,0,0,0,0
2020,3,14,"高知",12,229,0,0,0,0
2020,3,14,"福岡",3,522,0,0,0,0
2020,3,14,"佐賀",1,52,0,0,0,0
2020,3,14,"長崎",1,150,0,0,0,0
2020,3,14,"熊本",6,0,0,0,0,0
2020,3,14,"大分",1,148,0,0,0,0
2020,3,14,"宮崎",1,113,0,0,0,0
2020,3,14,"鹿児島",0,0,0,0,0,0
2020,3,14,"沖縄",3,198,0,0,0,0
2020,3,15,"北海道",148,1322,0,0,0,0
2020,3,15,"青森",0,70,0,0,0,0
2020,3,15,"岩手",0,22,0,0,0,0
2020,3,15,"宮城",1,109,0,0,0,0
2020,3,15,"秋田",2,94,0,0,0,0
2020,3,15,"山形",0,110,0,0,0,0
2020,3,15,"福島",2,107,0,0,0,0
2020,3,15,"茨城",0,389,0,0,0,0
2020,3,15,"栃木",2,201,0,0,0,0
2020,3,15,"群馬",5,115,0,0,0,0
2020,3,15,"埼玉",28,440,0,0,0,0
2020,3,15,"千葉",31,0,0,0,0,0
2020,3,15,"東京",90,1653,0,0,0,0
2020,3,15,"神奈川",54,0,0,0,0,0
2020,3,15,"新潟",14,0,0,0,0,0
2020,3,15,"富山",0,49,0,0,0,0
2020,3,15,"石川",7,146,0,0,0,0
2020,3,15,"福井",0,74,0,0,0,0
2020,3,15,"山梨",2,267,0,0,0,0
2020,3,15,"長野",4,255,0,0,0,0
2020,3,15,"岐阜",2,227,0,0,0,0
2020,3,15,"静岡",3,0,0,0,0,0
2020,3,15,"愛知",121,1103,0,0,0,0
2020,3,15,"三重",8,198,0,0,0,0
2020,3,15,"滋賀",2,99,0,0,0,0
2020,3,15,"京都",17,628,0,0,0,0
2020,3,15,"大阪",107,0,0,0,0,0
2020,3,15,"兵庫",62,581,0,0,0,0
2020,3,15,"奈良",8,131,0,0,0,0
2020,3,15,"和歌山",15,1008,0,0,0,0
2020,3,15,"鳥取",0,93,0,0,0,0
2020,3,15,"島根",0,80,0,0,0,0
2020,3,15,"岡山",0,141,0,0,0,0
2020,3,15,"広島",1,423,0,0,0,0
2020,3,15,"山口",3,128,0,0,0,0
2020,3,15,"徳島",1,70,0,0,0,0
2020,3,15,"香川",0,98,0,0,0,0
2020,3,15,"愛媛",2,161,0,0,0,0
2020,3,15,"高知",12,229,0,0,0,0
2020,3,15,"福岡",3,522,0,0,0,0
2020,3,15,"佐賀",1,52,0,0,0,0
2020,3,15,"長崎",1,150,0,0,0,0
2020,3,15,"熊本",6,0,0,0,0,0
2020,3,15,"大分",1,148,0,0,0,0
2020,3,15,"宮崎",1,113,0,0,0,0
2020,3,15,"鹿児島",0,0,0,0,0,0
2020,3,15,"沖縄",3,198,0,0,0,0
2020,3,16,"北海道",152,1462,0,0,0,0
2020,3,16,"青森",0,72,0,0,0,0
2020,3,16,"岩手",0,24,0,0,0,0
2020,3,16,"宮城",1,129,0,0,0,0
2020,3,16,"秋田",2,103,0,0,0,0
2020,3,16,"山形",0,112,0,0,0,0
2020,3,16,"福島",2,116,0,0,0,0
2020,3,16,"茨城",0,419,0,0,0,0
2020,3,16,"栃木",2,221,0,0,0,0
2020,3,16,"群馬",6,234,0,0,0,0
2020,3,16,"埼玉",28,584,0,0,0,0
2020,3,16,"千葉",31,0,0,0,0,0
2020,3,16,"東京",90,1672,0,0,0,0
2020,3,16,"神奈川",54,0,0,0,0,0
2020,3,16,"新潟",14,0,0,0,0,0
2020,3,16,"富山",0,48,0,0,0,0
2020,3,16,"石川",7,156,0,0,0,0
2020,3,16,"福井",0,79,0,0,0,0
2020,3,16,"山梨",2,294,0,0,0,0
2020,3,16,"長野",4,280,0,0,0,0
2020,3,16,"岐阜",2,249,0,0,0,0
2020,3,16,"静岡",3,0,0,0,0,0
2020,3,16,"愛知",123,847,0,0,0,0
2020,3,16,"三重",8,257,0,0,0,0
2020,3,16,"滋賀",3,107,0,0,0,0
2020,3,16,"京都",17,741,0,0,0,0
2020,3,16,"大阪",109,0,0,0,0,0
2020,3,16,"兵庫",81,874,0,0,0,0
2020,3,16,"奈良",8,143,0,0,0,0
2020,3,16,"和歌山",15,1040,0,0,0,0
2020,3,16,"鳥取",0,95,0,0,0,0
2020,3,16,"島根",0,82,0,0,0,0
2020,3,16,"岡山",0,160,0,0,0,0
2020,3,16,"広島",1,463,0,0,0,0
2020,3,16,"山口",3,138,0,0,0,0
2020,3,16,"徳島",1,73,0,0,0,0
2020,3,16,"香川",0,102,0,0,0,0
2020,3,16,"愛媛",2,166,0,0,0,0
2020,3,16,"高知",12,246,0,0,0,0
2020,3,16,"福岡",3,578,0,0,0,0
2020,3,16,"佐賀",1,82,0,0,0,0
2020,3,16,"長崎",1,173,0,0,0,0
2020,3,16,"熊本",6,393,0,0,0,0
2020,3,16,"大分",1,153,0,0,0,0
2020,3,16,"宮崎",1,114,0,0,0,0
2020,3,16,"鹿児島",0,0,0,0,0,0
2020,3,16,"沖縄",3,210,0,0,0,0
2020,3,17,"北海道",152,1515,0,0,0,0
2020,3,17,"青森",0,74,0,0,0,0
2020,3,17,"岩手",0,24,0,0,0,0
2020,3,17,"宮城",1,129,0,0,0,0
2020,3,17,"秋田",2,108,0,0,0,0
2020,3,17,"山形",0,120,0,0,0,0
2020,3,17,"福島",2,117,0,0,0,0
2020,3,17,"茨城",1,436,0,0,0,0
2020,3,17,"栃木",2,227,0,0,0,0
2020,3,17,"群馬",10,244,0,0,0,0
2020,3,17,"埼玉",33,614,0,0,0,0
2020,3,17,"千葉",31,0,0,0,0,0
2020,3,17,"東京",102,1743,0,0,0,0
2020,3,17,"神奈川",55,0,0,0,0,0
2020,3,17,"新潟",20,0,0,0,0,0
2020,3,17,"富山",0,51,0,0,0,0
2020,3,17,"石川",7,162,0,0,0,0
2020,3,17,"福井",0,84,0,0,0,0
2020,3,17,"山梨",2,315,0,0,0,0
2020,3,17,"長野",4,284,0,0,0,0
2020,3,17,"岐阜",2,322,0,0,0,0
2020,3,17,"静岡",3,0,0,0,0,0
2020,3,17,"愛知",125,847,0,0,0,0
2020,3,17,"三重",8,277,0,0,0,0
2020,3,17,"滋賀",4,124,0,0,0,0
2020,3,17,"京都",19,743,0,0,0,0
2020,3,17,"大阪",112,0,0,0,0,0
2020,3,17,"兵庫",85,951,0,0,0,0
2020,3,17,"奈良",8,153,0,0,0,0
2020,3,17,"和歌山",15,1076,0,0,0,0
2020,3,17,"鳥取",0,104,0,0,0,0
2020,3,17,"島根",0,84,0,0,0,0
2020,3,17,"岡山",0,166,0,0,0,0
2020,3,17,"広島",1,502,0,0,0,0
2020,3,17,"山口",3,149,0,0,0,0
2020,3,17,"徳島",1,115,0,0,0,0
2020,3,17,"香川",1,109,0,0,0,0
2020,3,17,"愛媛",2,167,0,0,0,0
2020,3,17,"高知",12,256,0,0,0,0
2020,3,17,"福岡",4,583,0,0,0,0
2020,3,17,"佐賀",1,85,0,0,0,0
2020,3,17,"長崎",1,179,0,0,0,0
2020,3,17,"熊本",6,0,0,0,0,0
2020,3,17,"大分",1,155,0,0,0,0
2020,3,17,"宮崎",3,129,0,0,0,0
2020,3,17,"鹿児島",0,0,0,0,0,0
2020,3,17,"沖縄",3,217,0,0,0,0
2020,3,18,"北海道",154,1587,153,77,69,6
2020,3,18,"青森",0,75,0,0,0,0
2020,3,18,"岩手",0,24,0,0,0,0
2020,3,18,"宮城",1,138,1,0,1,0
2020,3,18,"秋田",2,109,1,0,1,0
2020,3,18,"山形",0,123,0,0,0,0
2020,3,18,"福島",2,127,2,2,0,0
2020,3,18,"茨城",2,454,2,2,0,0
2020,3,18,"栃木",3,242,3,1,1,0
2020,3,18,"群馬",10,161,10,10,0,0
2020,3,18,"埼玉",34,646,32,28,4,0
2020,3,18,"千葉",33,0,31,22,9,0
2020,3,18,"東京",111,1848,105,79,30,2
2020,3,18,"神奈川",59,0,52,42,6,4
2020,3,18,"新潟",21,0,17,16,1,0
2020,3,18,"富山",0,54,0,0,0,0
2020,3,18,"石川",7,165,5,4,1,0
2020,3,18,"福井",1,92,1,1,0,0
2020,3,18,"山梨",2,325,2,2,0,0
2020,3,18,"長野",4,295,3,3,0,0
2020,3,18,"岐阜",3,270,3,2,1,0
