"week","pref","pop","count"
9,"02.Aomori-ken",12.63,0
9,"03.Iwate-ken",12.41,0
9,"04.Miyagi-ken",23.16,1
9,"05.Akita-ken",9.81,0
9,"06.Yamagata-ken",10.9,0
9,"07.Fukushima-ken",18.64,0
9,"08.Ibaraki-ken",28.77,0
9,"09.Tochigi-ken",19.46,0
9,"10.Gumma-ken",19.52,0
9,"11.Saitama-ken",73.3,0
9,"12.Chiba-ken",62.55,4
9,"13.Tokyo-to",138.22,11
9,"14.Kanagawa-ken",91.77,9
9,"15.Niigata-ken",22.46,1
9,"16.Toyama-ken",10.5,0
9,"17.Ishikawa-ken",11.43,4
9,"18.Fukui-ken",7.74,0
9,"19.Yamanashi-ken",8.17,0
9,"20.Nagano-ken",20.63,2
9,"21.Gifu-ken",19.97,2
9,"22.Shizuoka-ken",36.59,1
9,"23.Aichi-ken",75.37,7
9,"24.Mie-ken",17.91,0
9,"25.Shiga-ken",14.12,0
9,"26.Kyoto-fu",25.91,13
9,"27.Osaka-fu",88.13,4
9,"28.Hyogo-ken",54.84,0
9,"29.Nara-ken",13.39,1
9,"30.Wakayama-ken",9.35,0
9,"31.Tottori-ken",5.6,0
9,"32.Shimane-ken",6.8,0
9,"33.Okayama-ken",18.98,0
9,"34.Hiroshima-ken",28.17,0
9,"35.Yamaguchi-ken",13.7,0
9,"36.Tokushima-ken",7.36,0
9,"37.Kagawa-ken",9.62,0
9,"38.Ehime-ken",13.52,1
9,"39.Kochi-ken",7.06,0
9,"40.Fukuoka-ken",51.07,1
9,"41.Saga-ken",8.19,0
9,"42.Nagasaki-ken",13.41,0
9,"43.Kumamoto-ken",17.57,2
9,"44.Oita-ken",11.44,0
9,"45.Miyazaki-ken",10.81,0
9,"46.Kagoshima-ken",16.14,2
9,"47.Okinawa-ken",14.48,0
10,"01.Hokkaido",52.86,7
10,"02.Aomori-ken",12.63,0
10,"03.Iwate-ken",12.41,0
10,"04.Miyagi-ken",23.16,0
10,"05.Akita-ken",9.81,1
10,"06.Yamagata-ken",10.9,0
10,"07.Fukushima-ken",18.64,1
10,"08.Ibaraki-ken",28.77,0
10,"09.Tochigi-ken",19.46,1
10,"10.Gumma-ken",19.52,1
10,"11.Saitama-ken",73.3,6
10,"12.Chiba-ken",62.55,8
10,"13.Tokyo-to",138.22,22
10,"14.Kanagawa-ken",91.77,15
10,"15.Niigata-ken",22.46,4
10,"16.Toyama-ken",10.5,0
10,"17.Ishikawa-ken",11.43,0
10,"18.Fukui-ken",7.74,0
10,"19.Yamanashi-ken",8.17,1
10,"20.Nagano-ken",20.63,1
10,"21.Gifu-ken",19.97,0
10,"22.Shizuoka-ken",36.59,0
10,"23.Aichi-ken",75.37,28
10,"24.Mie-ken",17.91,0
10,"25.Shiga-ken",14.12,1
10,"26.Kyoto-fu",25.91,9
10,"27.Osaka-fu",88.13,51
10,"28.Hyogo-ken",54.84,11
10,"29.Nara-ken",13.39,4
10,"30.Wakayama-ken",9.35,6
10,"31.Tottori-ken",5.6,0
10,"32.Shimane-ken",6.8,0
10,"33.Okayama-ken",18.98,0
10,"34.Hiroshima-ken",28.17,1
10,"35.Yamaguchi-ken",13.7,3
10,"36.Tokushima-ken",7.36,0
10,"37.Kagawa-ken",9.62,0
10,"38.Ehime-ken",13.52,1
10,"39.Kochi-ken",7.06,10
10,"40.Fukuoka-ken",51.07,0
10,"41.Saga-ken",8.19,0
10,"42.Nagasaki-ken",13.41,0
10,"43.Kumamoto-ken",17.57,1
10,"44.Oita-ken",11.44,1
10,"45.Miyazaki-ken",10.81,1
10,"46.Kagoshima-ken",16.14,1
10,"47.Okinawa-ken",14.48,0
11,"01.Hokkaido",52.86,24
11,"02.Aomori-ken",12.63,0
11,"03.Iwate-ken",12.41,0
11,"04.Miyagi-ken",23.16,0
11,"05.Akita-ken",9.81,0
11,"06.Yamagata-ken",10.9,0
11,"07.Fukushima-ken",18.64,1
11,"08.Ibaraki-ken",28.77,0
11,"09.Tochigi-ken",19.46,0
11,"10.Gumma-ken",19.52,4
11,"11.Saitama-ken",73.3,24
11,"12.Chiba-ken",62.55,10
11,"13.Tokyo-to",138.22,26
11,"14.Kanagawa-ken",91.77,15
11,"15.Niigata-ken",22.46,10
11,"16.Toyama-ken",10.5,0
11,"17.Ishikawa-ken",11.43,1
11,"18.Fukui-ken",7.74,0
11,"19.Yamanashi-ken",8.17,0
11,"20.Nagano-ken",20.63,1
11,"21.Gifu-ken",19.97,0
11,"22.Shizuoka-ken",36.59,2
11,"23.Aichi-ken",75.37,9
11,"24.Mie-ken",17.91,7
11,"25.Shiga-ken",14.12,2
11,"26.Kyoto-fu",25.91,5
11,"27.Osaka-fu",88.13,51
11,"28.Hyogo-ken",54.84,67
11,"29.Nara-ken",13.39,3
11,"30.Wakayama-ken",9.35,1
11,"31.Tottori-ken",5.6,0
11,"32.Shimane-ken",6.8,0
11,"33.Okayama-ken",18.98,0
11,"34.Hiroshima-ken",28.17,0
11,"35.Yamaguchi-ken",13.7,0
11,"36.Tokushima-ken",7.36,0
11,"37.Kagawa-ken",9.62,0
11,"38.Ehime-ken",13.52,0
11,"39.Kochi-ken",7.06,0
11,"40.Fukuoka-ken",51.07,0
11,"41.Saga-ken",8.19,1
11,"42.Nagasaki-ken",13.41,0
11,"43.Kumamoto-ken",17.57,0
11,"44.Oita-ken",11.44,0
11,"45.Miyazaki-ken",10.81,0
11,"46.Kagoshima-ken",16.14,0
11,"47.Okinawa-ken",14.48,0
12,"01.Hokkaido",52.86,10
